[0.000000] (-) TimerEvent: {}
[0.000102] (-) JobUnselected: {'identifier': 'arduino'}
[0.000230] (-) JobUnselected: {'identifier': 'elevation_mapping'}
[0.000295] (-) JobUnselected: {'identifier': 'flir_camera_description'}
[0.000371] (-) JobUnselected: {'identifier': 'flir_camera_msgs'}
[0.000444] (-) JobUnselected: {'identifier': 'grid_map'}
[0.000510] (-) JobUnselected: {'identifier': 'grid_map_cmake_helpers'}
[0.000568] (-) JobUnselected: {'identifier': 'grid_map_core'}
[0.000634] (-) JobUnselected: {'identifier': 'grid_map_costmap_2d'}
[0.000765] (-) JobUnselected: {'identifier': 'grid_map_cv'}
[0.000844] (-) JobUnselected: {'identifier': 'grid_map_demos'}
[0.000938] (-) JobUnselected: {'identifier': 'grid_map_filters'}
[0.001007] (-) JobUnselected: {'identifier': 'grid_map_loader'}
[0.001067] (-) JobUnselected: {'identifier': 'grid_map_msgs'}
[0.001127] (-) JobUnselected: {'identifier': 'grid_map_octomap'}
[0.001189] (-) JobUnselected: {'identifier': 'grid_map_pcl'}
[0.001231] (-) JobUnselected: {'identifier': 'grid_map_ros'}
[0.001273] (-) JobUnselected: {'identifier': 'grid_map_rviz_plugin'}
[0.001315] (-) JobUnselected: {'identifier': 'grid_map_sdf'}
[0.001356] (-) JobUnselected: {'identifier': 'grid_map_visualization'}
[0.001399] (-) JobUnselected: {'identifier': 'imu'}
[0.001440] (-) JobUnselected: {'identifier': 'kindr'}
[0.001586] (-) JobUnselected: {'identifier': 'kindr_msgs'}
[0.001630] (-) JobUnselected: {'identifier': 'kindr_ros'}
[0.001674] (-) JobUnselected: {'identifier': 'launcher'}
[0.001716] (-) JobUnselected: {'identifier': 'localization'}
[0.001758] (-) JobUnselected: {'identifier': 'lr_msgs'}
[0.001799] (-) JobUnselected: {'identifier': 'mapping'}
[0.001840] (-) JobUnselected: {'identifier': 'mapping_static'}
[0.001881] (-) JobUnselected: {'identifier': 'motion_control'}
[0.001923] (-) JobUnselected: {'identifier': 'navigation'}
[0.001965] (-) JobUnselected: {'identifier': 'planning'}
[0.002008] (-) JobUnselected: {'identifier': 'realsense'}
[0.002065] (-) JobUnselected: {'identifier': 'realsense2_camera'}
[0.002108] (-) JobUnselected: {'identifier': 'realsense2_camera_msgs'}
[0.002150] (-) JobUnselected: {'identifier': 'realsense2_description'}
[0.002191] (-) JobUnselected: {'identifier': 'rviz_plugin_zed_od'}
[0.002233] (-) JobUnselected: {'identifier': 'sensing'}
[0.002274] (-) JobUnselected: {'identifier': 'spinnaker_camera_driver'}
[0.002316] (-) JobUnselected: {'identifier': 'spinnaker_synchronized_camera_driver'}
[0.002377] (-) JobUnselected: {'identifier': 'teleop'}
[0.002420] (-) JobUnselected: {'identifier': 'validation'}
[0.002462] (-) JobUnselected: {'identifier': 'vectornav'}
[0.002510] (-) JobUnselected: {'identifier': 'vectornav_msgs'}
[0.002553] (-) JobUnselected: {'identifier': 'visualization'}
[0.002594] (-) JobUnselected: {'identifier': 'zed_aruco_localization'}
[0.002635] (-) JobUnselected: {'identifier': 'zed_components'}
[0.002676] (-) JobUnselected: {'identifier': 'zed_depth_to_laserscan'}
[0.002758] (-) JobUnselected: {'identifier': 'zed_display_rviz2'}
[0.002801] (-) JobUnselected: {'identifier': 'zed_ipc'}
[0.002844] (-) JobUnselected: {'identifier': 'zed_multi_camera'}
[0.002888] (-) JobUnselected: {'identifier': 'zed_rgb_convert'}
[0.002929] (-) JobUnselected: {'identifier': 'zed_robot_integration'}
[0.002971] (-) JobUnselected: {'identifier': 'zed_ros2'}
[0.003012] (-) JobUnselected: {'identifier': 'zed_topic_benchmark'}
[0.003053] (-) JobUnselected: {'identifier': 'zed_topic_benchmark_component'}
[0.003096] (-) JobUnselected: {'identifier': 'zed_topic_benchmark_interfaces'}
[0.003137] (-) JobUnselected: {'identifier': 'zed_tutorial_depth'}
[0.003179] (-) JobUnselected: {'identifier': 'zed_tutorial_pos_tracking'}
[0.003304] (-) JobUnselected: {'identifier': 'zed_tutorial_video'}
[0.003347] (-) JobUnselected: {'identifier': 'zed_wrapper'}
[0.003391] (perception) JobQueued: {'identifier': 'perception', 'dependencies': OrderedDict([('lr_msgs', '/media/burger/Crucial X8/Lunar-ROADSTER/Lunar-ROADSTER/install/lr_msgs'), ('mapping', '/media/burger/Crucial X8/Lunar-ROADSTER/Lunar-ROADSTER/install/mapping')])}
[0.003479] (perception) JobStarted: {'identifier': 'perception'}
[0.021207] (perception) JobEnded: {'identifier': 'perception', 'rc': 1}
[0.031997] (-) EventReactorShutdown: {}
